City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
489,sao geraldo do araguaia,-6.4006,-48.555,25.43,62,98,1.54,BR,1727514137
490,kavaratti,10.5669,72.642,28.02,77,87,6.38,IN,1727514138
491,kabansk,52.0486,106.6528,8.47,57,100,2.6,RU,1727514139
492,st. john's,47.5649,-52.7093,11.55,90,100,4.63,CA,1727513854
493,erbil,36.1926,44.0106,32.9,17,0,1.54,IQ,1727514001
494,bengkulu,-3.8004,102.2655,28.42,82,52,4.95,ID,1727513939
495,brisas barra de suchiate,14.55,-92.2167,26.0,82,100,4.02,MX,1727514143
496,la passe,45.5549,-0.8967,13.43,74,2,3.87,FR,1727514144
497,egra,50.0796,12.3739,10.74,87,100,3.35,CZ,1727514145
498,nuuk,64.1835,-51.7216,5.34,93,100,14.4,GL,1727514123
499,at taj,24.2049,23.2857,32.12,27,0,5.81,LY,1727514147
500,edmundston,47.3737,-68.3251,12.64,92,100,0.0,CA,1727514044
501,isla mujeres,21.2311,-86.731,25.09,86,100,3.25,MX,1727514149
502,mushie,-3.0167,16.9,30.89,55,92,2.59,CD,1727514150
503,pinsk,52.1229,26.0951,18.86,60,98,5.91,BY,1727514047
504,santiago de cao,-7.9589,-79.2392,16.07,94,20,3.09,PE,1727514153
505,ulladulla,-35.35,150.4667,13.83,81,16,2.27,AU,1727514154
506,port alfred,-33.5906,26.891,18.99,84,99,0.45,ZA,1727514155
507,lebu,-37.6167,-73.65,10.52,89,100,2.88,CL,1727514156
508,ascencion de guarayos,-15.8963,-63.1881,19.49,66,5,0.38,BO,1727514157
509,rongelap,11.1635,166.8941,28.95,78,100,7.76,MH,1727514158
510,n'zeto,-7.2312,12.8666,25.83,74,100,2.95,AO,1727514159
511,charters towers,-20.1,146.2667,25.72,15,0,5.55,AU,1727514160
512,leo,11.1,-2.1,26.28,78,19,3.43,BF,1727514161
513,flying fish cove,-10.4217,105.6791,26.82,89,100,5.66,CX,1727514162
514,nykarleby,63.5228,22.5307,9.1,59,27,3.24,FI,1727514163
515,fortuna,40.5982,-124.1573,12.18,97,100,2.06,US,1727514164
516,klaksvik,62.2266,-6.589,6.04,69,100,7.74,FO,1727514165
517,nouadhibou,20.931,-17.0347,26.99,61,91,7.72,MR,1727514167
518,vinnytsia,49.2328,28.481,25.21,40,2,5.97,UA,1727514169
519,perry,37.2506,-83.1999,18.84,77,100,4.09,US,1727514170
520,hobbs,32.7026,-103.136,18.05,63,20,1.54,US,1727514171
521,heroica caborca,30.7167,-112.15,27.83,26,0,0.62,MX,1727514172
522,west end,26.6833,-78.9667,29.1,79,95,8.52,BS,1727514173
523,arno,60.1167,18.6333,9.26,74,99,4.17,SE,1727514174
524,knyaze-volkonskoye,48.4642,135.4567,17.19,74,20,1.49,RU,1727514175
525,nueva gerona,21.8833,-82.8,27.14,86,42,4.33,CU,1727514176
526,iquique,-20.2208,-70.1431,15.08,83,55,1.59,CL,1727514029
527,tofol,5.3248,163.0078,28.69,76,79,4.19,FM,1727514178
528,melilla,35.2937,-2.9383,24.21,50,20,1.03,ES,1727514086
529,colac,-38.3333,143.5833,16.79,43,100,4.27,AU,1727514181
530,salinopolis,-0.6136,-47.3561,26.34,80,50,5.34,BR,1727514182
531,ambajogai,18.7333,76.3833,27.91,69,100,4.68,IN,1727514183
532,la palma,33.8464,-118.0467,16.54,92,100,2.06,US,1727514184
533,hadibu,12.65,54.0333,27.7,75,35,7.4,YE,1727514133
534,igarka,67.4667,86.5833,4.43,98,100,5.51,RU,1727514188
535,giyani,-23.3025,30.7187,27.44,39,61,3.12,ZA,1727514189
536,sao vicente,-23.9631,-46.3919,19.43,26,1,1.7,BR,1727514182
537,riosucio,5.4216,-75.7032,16.36,100,100,0.89,CO,1727514191
538,gizo,-8.103,156.8419,27.59,80,98,2.08,SB,1727514192
539,kourou,5.1552,-52.6478,25.14,88,82,2.22,GF,1727514193
540,issia,6.4922,-6.5856,22.87,98,100,0.11,CI,1727514194
541,parabita,40.0519,18.1295,26.29,81,94,3.27,IT,1727514195
542,i-n-salah,27.1935,2.4607,35.27,19,0,6.8,DZ,1727514196
543,languyan,5.2618,120.0807,28.86,74,94,0.67,PH,1727514197
544,bandarbeyla,9.4942,50.8122,31.52,54,66,11.49,SO,1727514198
545,grevena,40.0845,21.4274,25.88,37,0,0.92,GR,1727514199
546,broken hill,-31.95,141.4333,19.36,27,100,3.93,AU,1727514200
547,fenoarivo atsinanana,-17.3667,49.4167,25.88,56,18,3.11,MG,1727514201
548,sawakin,19.1059,37.3321,38.07,31,5,4.97,SD,1727514202
549,tebesbest,33.1167,6.0833,32.69,30,0,4.33,DZ,1727514204
550,askoy,60.4092,5.226,5.16,100,75,1.03,NO,1727514206
551,sukhothai,17.25,99.6667,34.94,59,20,2.06,TH,1727514207
552,nyandoma,61.669,40.1991,15.22,69,100,6.57,RU,1727514208
553,stephenville,32.2207,-98.2023,16.07,82,0,2.57,US,1727514210
554,port saint john's,-31.6229,29.5448,24.76,56,100,3.32,ZA,1727514211
555,xique xique,-10.8217,-42.7311,22.9,68,11,7.79,BR,1727514212
556,orsa,54.5153,30.4053,20.37,68,67,8.56,BY,1727514213
557,mar del plata,-38.0023,-57.5575,10.53,91,75,6.17,AR,1727514054
558,aldinga beach,-35.2793,138.4604,15.35,80,100,7.07,AU,1727514215
559,mersrags,57.3354,23.1246,15.13,75,36,7.43,LV,1727514216
560,salobrena,36.7428,-3.5872,25.26,59,5,4.05,ES,1727514217
561,muli,2.9167,73.5667,28.69,78,77,6.93,MV,1727514219
562,mossendjo,-2.9506,12.7261,25.81,75,98,1.52,CG,1727514220
563,anqing,30.5092,117.0506,31.99,46,22,5.52,CN,1727514221
564,ingeniero jacobacci,-41.3427,-69.5448,5.03,71,100,14.74,AR,1727514222
565,emerald,-23.5333,148.1667,22.41,32,0,3.98,AU,1727514223
566,la'ie,21.6477,-157.9253,25.62,80,20,1.79,US,1727514224
567,tindouf,27.6711,-8.1474,22.25,73,0,6.17,DZ,1727514225
568,puerto el triunfo,13.2833,-88.55,24.28,90,100,1.87,SV,1727514226
569,weno,7.4515,151.8468,29.34,69,76,1.4,FM,1727514227
570,hobyo,5.3505,48.5268,28.43,68,79,10.01,SO,1727514228
571,ecoporanga,-18.3733,-40.8306,19.42,90,1,1.46,BR,1727514036
572,antofagasta,-23.65,-70.4,14.6,91,46,2.26,CL,1727514230
573,machina,13.1364,10.0492,31.23,47,98,4.51,NG,1727514231
574,manaure,11.7751,-72.4445,27.38,77,100,1.75,CO,1727514232
575,harstad,68.799,16.5293,4.53,91,94,8.49,NO,1727514233
576,olinda,-8.0089,-34.8553,25.85,78,75,3.09,BR,1727514234
577,canto do buriti,-8.11,-42.9444,23.49,51,7,2.9,BR,1727514235
578,natal,-5.795,-35.2094,25.12,83,75,4.12,BR,1727514236
579,mweka,-4.85,21.5667,31.8,45,90,2.44,CD,1727514237
580,sola,-13.8833,167.55,25.81,82,41,5.95,VU,1727514239
581,naze,28.3667,129.4833,26.51,91,100,4.03,JP,1727514140
582,kothi,24.75,80.7833,28.79,78,100,4.57,IN,1727514242
583,tres palos,18.1833,-101.6167,20.53,97,89,1.25,MX,1727514243
584,dipayal,29.2608,80.94,25.65,78,100,1.45,NP,1727514244
585,coquimbo,-29.9533,-71.3436,9.85,96,100,2.06,CL,1727514231
